Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
481562,OWNER SUR,9/12/2021,COCO,OTHER,2 YEARS,LARGE,SABLE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481562&location=MONT,
480456,OWNER SUR,8/16/2021,BAO,BIRD,9 MONTHS,SMALL,TRICOLOR,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480456&location=MONT,
482584,OWNER SUR,10/9/2021,*LARRY,OTHER,1 YEAR 1 MONTH,SMALL,WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482584&location=MONT,
468403,FOSTER,9/16/2021,LEO,DOG,4 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468403&location=MONT,
482944,OWNER SUR,10/19/2021,FRANCES,CAT,7 MONTHS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482944&location=MONT,
471330,OWNER SUR,10/15/2021,SQUIRREL,CAT,4 YEARS,SMALL,GRAY,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471330&location=MONT,
472018,OWNER SUR,1/17/2021,SANZON,BIRD,1 YEAR 3 MONTHS,LARGE,BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A472018&location=MONT,
480686,OWNER SUR,8/21/2021,STEWART,OTHER,NO AGE,SMALL,WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480686&location=MONT,
482734,OWNER SUR,10/13/2021,MOSES,CAT,5 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482734&location=MONT,
480018,BOARDING,8/6/2021,*MARCUS,OTHER,1 YEAR 3 MONTHS,SMALL,BLACK / WHITE,RAT,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480018&location=MONT,
482821,OWNER SUR,10/15/2021,MUSHU,CAT,1 YEAR 6 MONTHS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482821&location=MONT,
482307,OWNER SUR,10/2/2021,BINKY,OTHER,1 YEAR 1 MONTH,SMALL,WHITE / GRAY,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482307&location=MONT,
367377,RETURN,7/10/2021,DOOBIE,DOG,12 YEARS,MED,BLACK / BROWN,BOXER / ROTTWEILER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A367377&location=MONT,
482356,OWNER SUR,10/4/2021,MIZZO,CAT,10 YEARS,SMALL,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482356&location=MONT,
483137,OWNER SUR,10/23/2021,SADIE,DOG,4 YEARS,MED,FAWN,BOXER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483137&location=MONT,
481164,RETURN,10/30/2021,ISABELLA,DOG,11 YEARS,SMALL,WHITE,SHIH TZU,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481164&location=MONT,
